,movie_title,total
62,jupiter ascending,Lana WachowskiMila KunisAction Adventure Sci-FiChanning TatumEddie Redmayne
63,the legend of tarzan,David YatesAlexander SkarsgårdAction Adventure Drama RomanceChristoph WaltzCasper Crump
64,"the chronicles of narnia: the lion, the witch and the wardrobe",Andrew AdamsonKiran ShahAdventure Family FantasyJim BroadbentShane Rangi
65,x-men: apocalypse,Bryan SingerMichael FassbenderAction Adventure Sci-FiJennifer LawrenceTye Sheridan
66,the dark knight,Christopher NolanHeath LedgerAction Crime Drama ThrillerChristian BaleMorgan Freeman
67,up,Pete DocterDelroy LindoAdventure Animation Comedy FamilyJohn RatzenbergerJess Harnell
68,monsters vs. aliens,Rob LettermanRainn WilsonAction Adventure Animation Comedy Family Sci-FiAmy PoehlerStephen Colbert
69,iron man,Jon FavreauJeff BridgesAction Adventure Sci-FiRobert Downey Jr.Jon Favreau
70,hugo,Martin ScorseseChristopher LeeAdventure Drama Family MysteryChloë Grace MoretzRay Winstone
71,wild wild west,Barry SonnenfeldSalma HayekAction Comedy Sci-Fi WesternWill SmithBai Ling
72,the mummy: tomb of the dragon emperor,Rob CohenBrendan FraserAction Adventure Fantasy Horror ThrillerJet LiRussell Wong
73,suicide squad,David AyerRobin Atkin DownesAction Adventure Comedy Sci-FiWill SmithIke Barinholtz
74,evan almighty,Tom ShadyacMorgan FreemanComedy Family FantasyJimmy BennettSteve Carell
75,edge of tomorrow,Doug LimanLara PulverAction Adventure Sci-FiTom CruiseNoah Taylor
76,waterworld,Kevin ReynoldsRick AvilesAction Adventure Sci-Fi ThrillerJeanne TripplehornZakes Mokae
77,g.i. joe: the rise of cobra,Stephen SommersDennis QuaidAction Adventure Sci-Fi ThrillerJoseph Gordon-LevittLeo Howard
78,inside out,Pete DocterMindy KalingAdventure Animation Comedy Drama Family FantasyAmy PoehlerPhyllis Smith
79,the jungle book,Jon FavreauBill MurrayAdventure Drama Family FantasyScarlett JohanssonGarry Shandling
80,iron man 2,Jon FavreauScarlett JohanssonAction Adventure Sci-FiRobert Downey Jr.Jon Favreau
81,snow white and the huntsman,Rupert SandersKristen StewartAction Adventure Drama FantasyChris HemsworthSam Claflin
82,maleficent,Robert StrombergSharlto CopleyAction Adventure Family Fantasy RomanceAngelina Jolie PittSam Riley
83,dawn of the planet of the apes,Matt ReevesJudy GreerAction Adventure Drama Sci-FiGary OldmanKodi Smit-McPhee
84,the lovers,Roland JofféAlice EnglertAction Adventure Romance Sci-FiTamsin EgertonBipasha Basu
85,47 ronin,Carl RinschCary-Hiroyuki TagawaAction Adventure Drama FantasyKeanu ReevesJin Akanishi
86,captain america: the winter soldier,Anthony RussoChris EvansAction Adventure Sci-FiScarlett JohanssonHayley Atwell
87,shrek forever after,Mike MitchellKathy GriffinAdventure Animation Comedy Family FantasyJon HammMary Kay Place
88,tomorrowland,Brad BirdChris BauerAction Adventure Family Mystery Sci-FiJudy GreerThomas Robinson
89,big hero 6,Don HallDaniel HenneyAction Adventure Animation Comedy Drama Family Sci-FiDamon Wayans Jr.Abraham Benrubi
90,wreck-it ralph,Rich MooreSarah SilvermanAdventure Animation Comedy Family Sci-FiJack McBrayerJoe Lo Truglio
91,the polar express,Robert ZemeckisEddie DeezenAdventure Animation Family FantasyTom HanksPeter Scolari
92,independence day: resurgence,Roland EmmerichSela WardAction Adventure Sci-FiVivica A. FoxJudd Hirsch
93,how to train your dragon,Dean DeBloisAmerica FerreraAdventure Animation Family FantasyGerard ButlerCraig Ferguson
94,terminator 3: rise of the machines,Jonathan MostowM.C. GaineyAction Sci-FiNick StahlCarolyn Hennesy
95,guardians of the galaxy,James GunnVin DieselAction Adventure Sci-FiBradley CooperDjimon Hounsou
96,interstellar,Christopher NolanAnne HathawayAdventure Drama Sci-FiMatthew McConaugheyMackenzie Foy
97,inception,Christopher NolanTom HardyAction Adventure Sci-Fi ThrillerLeonardo DiCaprioJoseph Gordon-Levitt
98,godzilla resurgence,Hideaki AnnoShin'ya TsukamotoAction Adventure Drama Horror Sci-FiMark ChinneryAtsuko Maeda
99,the hobbit: an unexpected journey,Peter JacksonAdam BrownAdventure FantasyAidan TurnerJames Nesbitt
100,the fast and the furious,Rob CohenVin DieselAction Crime ThrillerPaul WalkerJordana Brewster
101,the curious case of benjamin button,David FincherJason FlemyngDrama Fantasy RomanceBrad PittJulia Ormond
102,x-men: first class,Matthew VaughnMichael FassbenderAction Adventure Sci-FiJennifer LawrenceOliver Platt
103,the hunger games: mockingjay - part 2,Francis LawrencePhilip Seymour HoffmanAdventure Sci-FiJennifer LawrenceJosh Hutcherson
104,the sorcerer's apprentice,Jon TurteltaubOmar Benson MillerAction Adventure Family FantasyNicolas CageRobert Capron
105,poseidon,Wolfgang PetersenMike VogelAction Adventure Drama ThrillerJimmy BennettAndre Braugher
106,alice through the looking glass,James BobinAlan RickmanAdventure Family FantasyJohnny DeppAnne Hathaway
107,shrek the third,Chris MillerEric IdleAdventure Animation Comedy Family FantasyJustin TimberlakeRupert Everett
108,warcraft,Duncan JonesCallum RennieAction Adventure FantasyDominic CooperRuth Negga
109,terminator genisys,Alan TaylorEmilia ClarkeAction Adventure Sci-FiJ.K. SimmonsMatt Smith
110,the chronicles of narnia: the voyage of the dawn treader,Michael AptedShane RangiAdventure Family FantasyBruce SpenceLaura Brent
111,pearl harbor,Michael BayJaime KingAction Drama History Romance WarJennifer GarnerMako
112,transformers,Michael BayMichael O'NeillAction Adventure Sci-FiZack WardKevin Dunn
113,alexander,Oliver StoneAngelina Jolie PittAction Adventure Biography Drama History Romance WarAnthony HopkinsBrian Blessed
114,harry potter and the order of the phoenix,David YatesDaniel RadcliffeAdventure Family Fantasy MysteryRobert PattinsonFiona Shaw
115,harry potter and the goblet of fire,Mike NewellDaniel RadcliffeAdventure Family Fantasy MysteryRobert PattinsonRupert Grint
116,hancock,Peter BergCharlize TheronAction DramaWill SmithEddie Marsan
117,i am legend,Francis LawrenceAlice BragaDrama Horror Sci-FiWill SmithWillow Smith
118,charlie and the chocolate factory,Tim BurtonChristopher LeeAdventure Comedy Family FantasyJohnny DeppDavid Kelly
119,ratatouille,Brad BirdJohn RatzenbergerAnimation Comedy Family FantasyJaneane GarofaloBrian Dennehy
120,batman begins,Christopher NolanLiam NeesonAction AdventureChristian BaleMorgan Freeman
121,madagascar: escape 2 africa,Eric DarnellJada Pinkett SmithAction Adventure Animation Comedy FamilyBernie MacCedric the Entertainer
122,night at the museum: battle of the smithsonian,Shawn LevyRami MalekAdventure Comedy Family FantasyRobin WilliamsSteve Coogan
123,x-men origins: wolverine,Gavin HoodRyan ReynoldsAction Adventure Fantasy Sci-Fi ThrillerHugh JackmanDominic Monaghan
124,the matrix revolutions,Lana WachowskiCollin ChouAction Sci-FiEssie DavisNona Gaye
125,frozen,Chris BuckMaurice LaMarcheAdventure Animation Comedy Family Fantasy MusicalJosh GadLivvy Stubenrauch
126,the matrix reloaded,Lana WachowskiDaniel BernhardtAction Sci-FiSteve BastoniHelmut Bakaitis
127,thor: the dark world,Alan TaylorNatalie PortmanAction Adventure FantasyChris HemsworthAnthony Hopkins
128,mad max: fury road,George MillerCharlize TheronAction Adventure Sci-Fi ThrillerTom HardyZoë Kravitz
129,angels & demons,Ron HowardAyelet ZurerMystery ThrillerTom HanksArmin Mueller-Stahl
130,thor,Kenneth BranaghNatalie PortmanAction Adventure FantasyChris HemsworthAnthony Hopkins
131,bolt,Byron HowardDiedrich BaderAdventure Animation Comedy Drama FamilyChloë Grace MoretzJames Lipton
132,g-force,Hoyt YeatmanPiper Mackenzie HarrisAction Adventure Animation Comedy Family Fantasy Sci-FiKelli GarnerNiecy Nash
133,wrath of the titans,Jonathan LiebesmanEdgar RamírezAction Adventure FantasyLiam NeesonLily James
134,dark shadows,Tim BurtonChloë Grace MoretzComedy Fantasy HorrorJohnny DeppChristopher Lee
135,mission: impossible - rogue nation,Christopher McQuarrieJeremy RennerAction Adventure ThrillerTom CruiseSean Harris
136,the wolfman,Joe JohnstonSimon MerrellsDrama Fantasy Horror ThrillerAnthony HopkinsArt Malik
137,the legend of tarzan,David YatesAlexander SkarsgårdAction Adventure Drama RomanceChristoph WaltzCasper Crump
138,bee movie,Steve HicknerOprah WinfreyAdventure Animation Comedy FamilyMatthew BroderickRip Torn
139,kung fu panda 2,Jennifer Yuh NelsonGary OldmanAction Adventure Animation Comedy FamilyAngelina Jolie PittMike Bell
140,the last airbender,M. Night ShyamalanNoah RingerAction Adventure Family FantasySeychelle GabrielAasif Mandvi
141,mission: impossible iii,J.J. AbramsTom CruiseAction Adventure ThrillerPhilip Seymour HoffmanEddie Marsan
142,white house down,Roland EmmerichJake WeberAction Drama ThrillerChanning TatumMatt Craven
143,mars needs moms,Simon WellsDan FoglerAction Adventure Animation Comedy Family Sci-FiElisabeth HarnoisTom Everett Scott
144,flushed away,David BowersKate WinsletAdventure Animation Comedy FamilyHugh JackmanDavid Suchet
145,pan,Joe WrightCara DelevingneAdventure Family FantasyHugh JackmanNonso Anozie
146,mr. peabody & sherman,Rob MinkoffZach CallisonAdventure Animation Comedy Family Sci-FiTy BurrellKaran Brar
147,troy,Wolfgang PetersenOrlando BloomAdventureBrad PittJulian Glover
148,madagascar 3: europe's most wanted,Eric DarnellMartin ShortAdventure Animation Comedy FamilyJada Pinkett SmithCedric the Entertainer
149,die another day,Lee TamahoriColin SalmonAction Adventure ThrillerToby StephensRick Yune
150,ghostbusters,Paul FeigKate McKinnonAction Comedy Fantasy Sci-FiEd Begley Jr.Zach Woods
151,armageddon,Michael BaySteve BuscemiAction Adventure Sci-Fi ThrillerBruce WillisWill Patton
152,men in black ii,Barry SonnenfeldRosario DawsonAction Adventure Comedy Family Fantasy Mystery Sci-FiWill SmithRip Torn
153,beowulf,Robert ZemeckisAnthony HopkinsAction Adventure Animation FantasyRobin WrightSebastian Roché
154,kung fu panda 3,Alessandro CarloniAngelina Jolie PittAction Adventure Animation Comedy FamilyJ.K. SimmonsWayne Knight
155,mission: impossible - ghost protocol,Brad BirdJeremy RennerAction Adventure ThrillerTom CruiseMichael Nyqvist
156,rise of the guardians,Peter RamseyKamil McFaddenAdventure Animation Family FantasyHugh JackmanKhamani Griffin
157,fun with dick and jane,Dean ParisotRichard BurgiComedy CrimeJohn Michael HigginsDavid Herman
158,the last samurai,Edward ZwickTony GoldwynAction Drama History WarTom CruiseChad Lindberg
159,exodus: gods and kings,Ridley ScottMaría ValverdeAction Adventure DramaChristian BaleBen Mendelsohn
160,star trek,J.J. AbramsLeonard NimoyAction Adventure Sci-FiChris HemsworthBruce Greenwood
161,spider-man,Sam RaimiJames FrancoAction Adventure Fantasy RomanceJ.K. SimmonsKirsten Dunst
162,how to train your dragon 2,Dean DeBloisDjimon HounsouAction Adventure Animation Comedy Family FantasyGerard ButlerAmerica Ferrera
163,gods of egypt,Alex ProyasElodie YungAction Adventure FantasyGerard ButlerBryan Brown
164,stealth,Rob CohenJoe MortonAction Adventure Sci-Fi ThrillerSam ShepardRichard Roxburgh
165,watchmen,Zack SnyderBilly CrudupAction Drama Mystery Sci-FiMatt FrewerStephen McHattie
166,lethal weapon 4,Richard DonnerRene RussoAction Crime ThrillerJet LiDarlene Love
167,hulk,Ang LeeRegi DavisAction Sci-FiKevin RankinCelia Weston
168,g.i. joe: retaliation,Jon M. ChuDwayne JohnsonAction Adventure Sci-Fi ThrillerChanning TatumElodie Yung
169,sahara,Breck EisnerRainn WilsonAction Adventure Comedy ThrillerMatthew McConaugheyDelroy Lindo
170,final fantasy: the spirits within,Hironobu SakaguchiMing-Na WenAction Adventure Animation Fantasy Romance Sci-FiSteve BuscemiJean Simmons
171,captain america: the first avenger,Joe JohnstonDominic CooperAction Adventure Sci-FiChris EvansHayley Atwell
172,the world is not enough,Michael AptedMaria Grazia CucinottaAction Adventure ThrillerColin SalmonDesmond Llewelyn
173,master and commander: the far side of the world,Peter WeirLee InglebyAction Adventure Drama History WarJames D'ArcyDavid Threlfall
174,the twilight saga: breaking dawn - part 2,Bill CondonKristen StewartAdventure Drama Fantasy RomanceRobert PattinsonTaylor Lautner
175,happy feet 2,George MillerBrad PittAnimation Comedy Family MusicalRobin WilliamsCommon
176,the incredible hulk,Louis LeterrierPeter MensahAction Adventure Sci-FiTy BurrellWilliam Hurt
177,miami vice            ,unknownPhilip Michael ThomasAction Crime Drama Mystery ThrillerDon JohnsonJohn Diehl
178,the bfg,Steven SpielbergPenelope WiltonAdventure Family FantasyMark RylanceRafe Spall
179,the revenant,Alejandro G. IñárrituTom HardyAdventure Drama Thriller WesternLeonardo DiCaprioLukas Haas
180,turbo,David SorenSnoop DoggAdventure Animation Comedy Family SportRyan ReynoldsBen Schwartz
181,rango,Gore VerbinskiRay WinstoneAdventure Animation Comedy Family WesternJohnny DeppStephen Root
182,penguins of madagascar,Eric DarnellAnnet MahendruAdventure Animation Comedy FamilyBenedict CumberbatchAndy Richter
183,the bourne ultimatum,Paul GreengrassEdgar RamírezAction Mystery ThrillerMatt DamonAlbert Finney
184,kung fu panda,Mark OsborneWayne KnightAction Adventure Animation Comedy FamilyAngelina Jolie PittDan Fogler
185,ant-man,Peyton ReedHayley AtwellAction Adventure Comedy Sci-FiJudy GreerT.I.
186,the hunger games: catching fire,Francis LawrenceJosh HutchersonAdventure Sci-Fi ThrillerJennifer LawrenceSandra Ellis Lafferty
187,the twilight saga: breaking dawn - part 2,Bill CondonKristen StewartAdventure Drama Fantasy RomanceRobert PattinsonTaylor Lautner
188,home,Tim JohnsonMatt JonesAdventure Animation Comedy Family Fantasy Sci-FiJim ParsonsApril Winchell
189,war of the worlds,Steven SpielbergLisa Ann WalterAdventure Sci-Fi ThrillerTom CruiseRick Gonzalez
190,bad boys ii,Michael BayHenry RollinsAction Comedy Crime ThrillerWill SmithJordi Mollà
191,puss in boots,Chris MillerConstance MarieAction Adventure Animation Comedy Family FantasySalma HayekAmy Sedaris
192,salt,Phillip NoyceAndre BraugherAction Crime Mystery ThrillerAngelina Jolie PittAugust Diehl
193,noah,Darren AronofskyEmma WatsonAction Adventure DramaAnthony HopkinsLogan Lerman
194,the adventures of tintin,Steven SpielbergMackenzie CrookAction Adventure Family MysteryToby JonesTony Curran
195,harry potter and the prisoner of azkaban,Alfonso CuarónGary OldmanAdventure Family Fantasy MysteryDaniel RadcliffeRupert Grint
196,australia,Baz LuhrmannBryan BrownAdventure Drama Romance WarEssie DavisEddie Baroo
197,after earth,M. Night ShyamalanZoë KravitzAction Adventure Sci-FiWill SmithGlenn Morshower
198,dinosaur,Eric LeightonD.B. SweeneyAdventure Animation Family ThrillerAlfre WoodardDella Reese
199,harry potter and the deathly hallows: part ii,Matt BirchDave LegenoAction FantasyRupert GrintRalph Ineson
200,night at the museum: secret of the tomb,Shawn LevyRami MalekAdventure Comedy Family FantasyRobin WilliamsSteve Coogan
201,megamind,Tom McGrathBrad PittAction Animation Comedy Family Sci-FiJ.K. SimmonsWill Ferrell
202,harry potter and the sorcerer's stone,Chris ColumbusFiona ShawAdventure Family FantasyDaniel RadcliffeVerne Troyer
203,r.i.p.d.,Robert SchwentkeJeff BridgesAction Comedy FantasyRyan ReynoldsStephanie Szostak
204,godzilla resurgence,Hideaki AnnoShin'ya TsukamotoAction Adventure Drama Horror Sci-FiMark ChinneryAtsuko Maeda
205,pirates of the caribbean: the curse of the black pearl,Gore VerbinskiOrlando BloomAction Adventure FantasyJohnny DeppJack Davenport
206,harry potter and the deathly hallows: part i,Matt BirchToby JonesFantasyRupert GrintAlfred Enoch
207,the hunger games: mockingjay - part 1,Francis LawrencePhilip Seymour HoffmanAdventure Sci-Fi ThrillerJennifer LawrenceJosh Hutcherson
208,the da vinci code,Ron HowardSeth GabelMystery ThrillerTom HanksJürgen Prochnow
209,rio 2,Carlos SaldanhaRachel CrowAdventure Animation Comedy Family MusicalMiguel FerrerJeffrey Garcia
210,x-men 2,Bryan SingerBruce DavisonAction Adventure Fantasy Sci-Fi ThrillerHugh JackmanAaron Stanford
211,fast five,Justin LinVin DieselAction Crime ThrillerPaul WalkerDwayne Johnson
212,sherlock holmes: a game of shadows,Guy RitchieEddie MarsanAction Adventure Crime Mystery ThrillerRobert Downey Jr.Paul Anderson
213,clash of the titans,Louis LeterrierJason FlemyngAction Adventure FantasyLiam NeesonAlexa Davalos
214,total recall,Paul VerhoevenRachel TicotinAction Sci-FiRonny CoxMarshall Bell
215,the 13th warrior,John McTiernanVladimir KulichAction Adventure HistoryTony CurranClive Russell
216,the bourne legacy,Tony GilroyScott GlennAction Adventure ThrillerJeremy RennerStacy Keach
217,batman & robin,Joel SchumacherVivica A. FoxActionMichael GoughJohn Glover
218,how the grinch stole christmas,Ron HowardT.J. ThyneComedy Family FantasyClint HowardMolly Shannon
219,the day after tomorrow,Roland EmmerichDennis QuaidAction Adventure Sci-Fi ThrillerJake GyllenhaalSela Ward
220,mission: impossible ii,John WooDougray ScottAction Adventure ThrillerTom CruiseRichard Roxburgh
221,the perfect storm,Wolfgang PetersenMary Elizabeth MastrantonioAction Adventure Drama ThrillerKaren AllenBob Gunton
222,fantastic 4: rise of the silver surfer,Tim StoryIoan GruffuddAction Adventure Sci-Fi ThrillerChris EvansAndre Braugher
223,life of pi,Ang LeeRafe SpallAdventure Drama FantasySuraj SharmaTabu
224,ghost rider,Mark Steven JohnsonMatt LongAction Fantasy ThrillerNicolas CagePeter Fonda
225,jason bourne,Paul GreengrassRiz AhmedAction ThrillerMatt DamonAto Essandoh
226,charlie's angels: full throttle,McGBernie MacAction Adventure Comedy CrimeDemi MooreJustin Theroux
227,prometheus,Ridley ScottCharlize TheronAdventure Mystery Sci-FiMichael FassbenderSean Harris
228,stuart little 2,Rob MinkoffBrad GarrettAdventure Animation Comedy Family FantasyNathan LaneMelanie Griffith
229,elysium,Neill BlomkampSharlto CopleyAction Drama Sci-Fi ThrillerMatt DamonAlice Braga
230,the chronicles of riddick,David TwohyAlexa DavalosAction Adventure Sci-Fi ThrillerVin DieselChristina Cox
231,robocop,José PadilhaAbbie CornishAction Crime Sci-Fi ThrillerGary OldmanJennifer Ehle
232,speed racer,Lana WachowskiKick GurryAction Family SportScott PorterNicholas Elia
233,how do you know,James L. BrooksDomenick LombardozziComedy Drama RomanceShelley ConnTeyonah Parris
234,knight and day,James MangoldMarc BlucasAction Comedy RomanceTom CruiseJordi Mollà
235,oblivion,Joseph KosinskiTom CruiseAction Adventure Mystery Sci-FiMorgan FreemanZoë Bell
236,star wars: episode iii - revenge of the sith,George LucasChristopher LeeAction Adventure Fantasy Sci-FiNatalie PortmanHayden Christensen
237,star wars: episode ii - attack of the clones,George LucasChristopher LeeAction Adventure Fantasy Sci-FiNatalie PortmanHayden Christensen
238,"monsters, inc.",Pete DocterJohn RatzenbergerAdventure Animation Comedy Family FantasySteve BuscemiJames Coburn
239,the wolverine,James MangoldTao OkamotoAction Adventure Sci-Fi ThrillerHugh JackmanRila Fukushima
240,star wars: episode i - the phantom menace,George LucasLiam NeesonAction Adventure Fantasy Sci-FiNatalie PortmanIan McDiarmid
241,the croods,Kirk De MiccoEmma StoneAdventure Animation Comedy Family FantasyRyan ReynoldsNicolas Cage
242,asterix at the olympic games,Frédéric ForestierSantiago SeguraAdventure Comedy Family FantasyAlain DelonVanessa Hessler
243,windtalkers,John WooRoger WillieAction Drama WarNicolas CageNoah Emmerich
244,the huntsman: winter's war,Cedric Nicolas-TroyanSam ClaflinAction Adventure Drama FantasyChris HemsworthCharlize Theron
245,teenage mutant ninja turtles,Jonathan LiebesmanDanny WoodburnAction Adventure Comedy Sci-FiNoel FisherJeremy Howard
246,gravity,Alfonso CuarónBasher SavageAdventure Drama Sci-Fi ThrillerPhaldut SharmaAmy Warren
247,dante's peak,Roger DonaldsonGrant HeslovAction Adventure ThrillerJamie Renée SmithTzi Ma
248,teenage mutant ninja turtles: out of the shadows,Dave GreenNoel FisherAction Adventure Comedy Sci-FiStephen AmellBrad Garrett
249,fantastic four,Josh TrankReg E. CatheyAction Adventure Sci-FiTim Blake NelsonTim Heidecker
250,night at the museum,Shawn LevyRami MalekAction Adventure Comedy Family FantasyRobin WilliamsSteve Coogan
251,san andreas,Brad PeytonIoan GruffuddAction Adventure Drama ThrillerDwayne JohnsonArchie Panjabi
252,tomorrow never dies,Roger SpottiswoodeColin SalmonAction Adventure ThrillerVincent SchiavelliJoe Don Baker
253,the patriot,Roland EmmerichAdam BaldwinAction Drama History WarHeath LedgerTom Wilkinson
254,ocean's twelve,Steven SoderberghJulia RobertsCrime ThrillerBrad PittMini Anden
255,mr. & mrs. smith,Doug LimanAngelina Jolie PittAction Comedy Crime Romance ThrillerBrad PittStephanie March
256,insurgent,Robert SchwentkeTheo JamesAdventure Sci-Fi ThrillerKate WinsletMekhi Phifer
257,the aviator,Martin ScorseseAdam ScottBiography DramaLeonardo DiCaprioFrances Conroy
258,gulliver's travels,Rob LettermanCatherine TateAdventure Comedy Family FantasyJames CordenOlly Alexander
259,the green hornet,Michel GondryTom WilkinsonAction Comedy Crime Sci-Fi ThrillerChristoph WaltzChad L. Coleman
260,the a-team            ,unknownDirk BenedictAction Adventure CrimeGeorge PeppardDwight Schultz
261,300: rise of an empire,Noam MurroSullivan StapletonAction Drama Fantasy WarEva GreenPeter Mensah
